experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,environment,milliseconds_per_repeat,bad_over_good_ratio
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0100789999996777,0.0002015799999935,local,0.2015799999935,20.87112445383347
transfer_overhead,1000000,3.814697265625,cuda,float32,good_keep_on_gpu,50,0.0017482000112067,3.496400022413581e-05,local,0.034964000224135816,20.87112445383347
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_compute_only,50,0.0011420999944675,2.2841999889351428e-05,local,0.022841999889351428,20.87112445383347
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0180419000098481,0.0003608380001969,local,0.3608380001969,20.87112445383347
transfer_overhead,10000000,38.14697265625,cuda,float32,bad_repeated_transfer,50,0.295401600014884,0.0059080320002976,local,5.908032000297601,26.041945482275935
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_compute_only,50,0.1074282999907154,0.0021485659998143,local,2.1485659998143003,26.041945482275935
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_to_gpu_transfer,50,0.1297927999985404,0.0025958559999708,local,2.5958559999707997,26.041945482275935
transfer_overhead,10000000,38.14697265625,cuda,float32,good_keep_on_gpu,50,0.0113432999933138,0.0002268659998662,local,0.2268659998662,26.041945482275935
transfer_overhead,10000000,38.14697265625,cuda,float32,gpu_compute_only,50,0.0071824000042397,0.0001436480000847,local,0.1436480000847,26.041945482275935
transfer_overhead,10000000,38.14697265625,cuda,float32,gpu_to_cpu_transfer,50,0.1521920999803114,0.0030438419996062,local,3.0438419996062,26.041945482275935
transfer_overhead,10000,0.03814697265625,cuda,float32,bad_repeated_transfer,50,0.0019457499729469,3.891499945893884e-05,orca,0.038914999458938844,3.6935265308900562
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_compute_only,50,0.0006891239900141,1.378247980028391e-05,orca,0.013782479800283909,3.6935265308900562
transfer_overhead,10000,0.03814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0006635560421273,1.3271120842546224e-05,orca,0.013271120842546225,3.6935265308900562
transfer_overhead,10000,0.03814697265625,cuda,float32,good_keep_on_gpu,50,0.0005268000531941,1.0536001063883304e-05,orca,0.010536001063883305,3.6935265308900562
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_compute_only,50,0.0005187789211049,1.0375578422099353e-05,orca,0.010375578422099354,3.6935265308900562
transfer_overhead,10000,0.03814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0006252079037949,1.2504158075898883e-05,orca,0.012504158075898884,3.6935265308900562
transfer_overhead,100000,0.3814697265625,cuda,float32,bad_repeated_transfer,50,0.0054672850528731,0.0001093457010574,orca,0.1093457010574,9.184193414833356
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_compute_only,50,0.0014021539827808,2.804307965561748e-05,orca,0.02804307965561748,9.184193414833356
transfer_overhead,100000,0.3814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0020125500159338,4.025100031867624e-05,orca,0.04025100031867624,9.184193414833356
transfer_overhead,100000,0.3814697265625,cuda,float32,good_keep_on_gpu,50,0.0005952928913757,1.190585782751441e-05,orca,0.01190585782751441,9.184193414833356
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_compute_only,50,0.0005242569604888,1.0485139209777115e-05,orca,0.010485139209777115,9.184193414833356
transfer_overhead,100000,0.3814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0021106270141899,4.221254028379917e-05,orca,0.042212540283799165,9.184193414833356
transfer_overhead,1000000,3.814697265625,cuda,float32,bad_repeated_transfer,50,0.030434553977102,0.000608691079542,orca,0.608691079542,30.34095052071796
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_compute_only,50,0.0050261329161003,0.000100522658322,orca,0.10052265832200001,30.34095052071796
transfer_overhead,1000000,3.814697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0103330769343301,0.0002066615386866,orca,0.2066615386866,30.34095052071796
transfer_overhead,1000000,3.814697265625,cuda,float32,good_keep_on_gpu,50,0.0010030850535258,2.0061701070517303e-05,orca,0.0200617010705173,30.34095052071796
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_compute_only,50,0.000535532948561,1.0710658971220257e-05,orca,0.010710658971220257,30.34095052071796
transfer_overhead,1000000,3.814697265625,cuda,float32,gpu_to_cpu_transfer,50,0.0153136909939348,0.0003062738198786,orca,0.3062738198786,30.34095052071796
transfer_overhead,10000000,38.14697265625,cuda,float32,bad_repeated_transfer,50,0.349680499988608,0.0069936099997721,orca,6.9936099997721,31.336730718846244
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_compute_only,50,0.1621795350220054,0.0032435907004401,orca,3.2435907004401003,31.336730718846244
transfer_overhead,10000000,38.14697265625,cuda,float32,cpu_to_gpu_transfer,50,0.0990375069668516,0.001980750139337,orca,1.9807501393370002,31.336730718846244
transfer_overhead,10000000,38.14697265625,cuda,float32,good_keep_on_gpu,50,0.0111588060390204,0.0002231761207804,orca,0.2231761207804,31.336730718846244
transfer_overhead,10000000,38.14697265625,cuda,float32,gpu_compute_only,50,0.004474735003896,8.949470007792115e-05,orca,0.08949470007792115,31.336730718846244
