experiment,n,tensor_size_mb,device,dtype,case,repeats,total_seconds,seconds_per_repeat,skipped,environment,environment_device,milliseconds_per_repeat,vectorized_ms_per_repeat,loop_ms_per_repeat,loop_over_vectorized_ratio
vectorization,1000,0.003814697265625,cpu,float32,python_loop_scalar,1,0.0083050000248476,0.0083050000248476,False,orca,ORCA CPU,8.3050000248476,0.008391690207645297,8.3050000248476,989.669520602808
vectorization,1000,0.003814697265625,cpu,float32,vectorized_tensor_op,100,0.0008391690207645,8.391690207645298e-06,False,orca,ORCA CPU,0.008391690207645297,0.008391690207645297,8.3050000248476,989.669520602808
vectorization,10000,0.03814697265625,cpu,float32,python_loop_scalar,1,0.0819644329603761,0.0819644329603761,False,orca,ORCA CPU,81.9644329603761,0.0076467799954116344,81.9644329603761,10718.816679642667
vectorization,10000,0.03814697265625,cpu,float32,vectorized_tensor_op,100,0.0007646779995411,7.646779995411634e-06,False,orca,ORCA CPU,0.0076467799954116344,0.0076467799954116344,81.9644329603761,10718.816679642667
vectorization,100000,0.3814697265625,cpu,float32,python_loop_scalar,1,0.8235670960275456,0.8235670960275456,False,orca,ORCA CPU,823.5670960275456,0.023729800013825297,823.5670960275456,34706.027676075
vectorization,100000,0.3814697265625,cpu,float32,vectorized_tensor_op,100,0.0023729800013825,2.3729800013825297e-05,False,orca,ORCA CPU,0.023729800013825297,0.023729800013825297,823.5670960275456,34706.027676075
vectorization,1000000,3.814697265625,cpu,float32,python_loop_scalar,1,8.248517928062938,8.248517928062938,False,orca,ORCA CPU,8248.517928062938,0.7361636706627,8248.517928062938,11204.733752532993
vectorization,1000000,3.814697265625,cpu,float32,vectorized_tensor_op,100,0.073616367066279,0.0007361636706627,False,orca,ORCA CPU,0.7361636706627,0.7361636706627,8248.517928062938,11204.733752532993
vectorization,1000,0.003814697265625,cuda,float32,python_loop_scalar,1,0.0160423479974269,0.0160423479974269,False,orca,ORCA GPU,16.0423479974269,0.010280129499733448,16.0423479974269,1560.520030204178
vectorization,1000,0.003814697265625,cuda,float32,vectorized_tensor_op,100,0.0010280129499733,1.0280129499733448e-05,False,orca,ORCA GPU,0.010280129499733448,0.010280129499733448,16.0423479974269,1560.520030204178
vectorization,10000,0.03814697265625,cuda,float32,python_loop_scalar,1,0.1590261639794334,0.1590261639794334,False,orca,ORCA GPU,159.0261639794334,0.010070109274238348,159.0261639794334,15791.900529446968
vectorization,10000,0.03814697265625,cuda,float32,vectorized_tensor_op,100,0.0010070109274238,1.0070109274238348e-05,False,orca,ORCA GPU,0.010070109274238348,0.010070109274238348,159.0261639794334,15791.900529446968
vectorization,100000,0.3814697265625,cuda,float32,python_loop_scalar,1,1.5980400750413537,1.5980400750413537,False,orca,ORCA GPU,1598.0400750413537,0.009996809531003235,1598.0400750413537,159855.00874907454
vectorization,100000,0.3814697265625,cuda,float32,vectorized_tensor_op,100,0.0009996809531003,9.996809531003235e-06,False,orca,ORCA GPU,0.009996809531003235,0.009996809531003235,1598.0400750413537,159855.00874907454
vectorization,1000000,3.814697265625,cuda,float32,python_loop_scalar,1,16.0106602050364,16.0106602050364,False,orca,ORCA GPU,16010.660205036402,0.010406420333310962,16010.660205036402,1538536.7582920194
vectorization,1000000,3.814697265625,cuda,float32,vectorized_tensor_op,100,0.001040642033331,1.0406420333310962e-05,False,orca,ORCA GPU,0.010406420333310962,0.010406420333310962,16010.660205036402,1538536.7582920194
